distance,found_object,is_lift_in_fov,signal_quality,unobstructed
61.0,True,True, 5.116822242736816,True
62.0,True,True, 5.079439163208008,True
60.0,True,True, 5.095015525817871,True
60.0,True,True, 5.0872273445129395,True
63.0,True,True, 5.059189796447754,True
61.0,True,True, 5.101245880126953,True
60.0,True,True, 5.068535804748535,True
61.0,True,True, 5.076323986053467,True
58.0,True,True, 5.076323986053467,True
60.0,True,True, 5.0576324462890625,True
60.0,True,True, 5.079439163208008,True
60.0,True,True, 5.076323986053467,True
59.0,True,True, 5.082554340362549,True
57.0,True,True, 5.068535804748535,True
58.0,True,True, 5.101245880126953,True
63.0,True,True, 5.0872273445129395,True
58.0,True,True, 5.09345817565918,True
59.0,True,True, 5.059189796447754,True
59.0,True,True, 5.0607476234436035,True
60.0,True,True, 5.080996990203857,True
59.0,True,True, 5.102803707122803,True
58.0,True,True, 5.0607476234436035,True
63.0,True,True, 5.048286437988281,True
59.0,True,True, 5.059189796447754,True
58.0,True,True, 5.085669994354248,True
58.0,True,True, 5.099688529968262,True
59.0,True,True, 5.070093631744385,True
61.0,True,True, 5.0607476234436035,True
60.0,True,True, 5.052959442138672,True
59.0,True,True, 5.073208808898926,True
61.0,True,True, 5.077881813049316,True
60.0,True,True, 5.0872273445129395,True
60.0,True,True, 5.123053073883057,True
59.0,True,True, 5.09190034866333,True
60.0,True,True, 5.096573352813721,True
57.0,True,True, 5.101245880126953,True
57.0,True,True, 5.152647972106934,True
58.0,True,True, 5.152647972106934,True
61.0,True,True, 5.104361534118652,True
60.0,True,True, 5.13239860534668,True
63.0,True,True, 5.151090145111084,True
59.0,True,True, 5.185358047485352,True
60.0,True,True, 5.13862943649292,True
59.0,True,True, 5.185358047485352,True
58.0,True,True, 5.144859790802002,True
59.0,True,True, 5.140186786651611,True
57.0,True,True, 5.141744613647461,True
59.0,True,True, 5.141744613647461,True
59.0,True,True, 5.225856781005859,True
59.0,True,True, 5.151090145111084,True
60.0,True,True, 5.17756986618042,True
58.0,True,True, 5.197819232940674,True
59.0,True,True, 5.18380069732666,True
60.0,True,True, 5.141744613647461,True
59.0,True,True, 5.214953422546387,True
59.0,True,True, 5.2087225914001465,True
61.0,True,True, 5.186915874481201,True
61.0,True,True, 5.13239860534668,True
59.0,True,True, 5.161993980407715,True
61.0,True,True, 5.1760125160217285,True
61.0,True,True, 5.222741603851318,True
60.0,True,True, 5.200934410095215,True
60.0,True,True, 5.190031051635742,True
56.0,True,True, 5.17756986618042,True
57.0,True,True, 5.152647972106934,True
59.0,True,True, 5.133956432342529,True
57.0,True,True, 5.233644962310791,True
59.0,True,True, 5.236760139465332,True
59.0,True,True, 5.219625949859619,True
59.0,True,True, 5.2056074142456055,True
61.0,True,True, 5.199377059936523,True
58.0,True,True, 5.257009506225586,True
60.0,True,True, 5.196261882781982,True
61.0,True,True, 5.1760125160217285,True
60.0,True,True, 5.214953422546387,True
61.0,True,True, 5.218068599700928,True
58.0,True,True, 5.207165241241455,True
58.0,True,True, 5.236760139465332,True
61.0,True,True, 5.2289719581604,True
60.0,True,True, 5.1791276931762695,True
60.0,True,True, 5.154205799102783,True
60.0,True,True, 5.160436153411865,True
60.0,True,True, 5.214953422546387,True
58.0,True,True, 5.199377059936523,True
59.0,True,True, 5.194704055786133,True
58.0,True,True, 5.193146228790283,True
60.0,True,True, 5.247663497924805,True
61.0,True,True, 5.249221324920654,True
61.0,True,True, 5.246106147766113,True
58.0,True,True, 5.225856781005859,True
62.0,True,True, 5.2087225914001465,True
61.0,True,True, 5.180685520172119,True
56.0,True,True, 5.1791276931762695,True
62.0,True,True, 5.171339511871338,True
59.0,True,True, 5.196261882781982,True
59.0,True,True, 5.241433143615723,True
61.0,True,True, 5.196261882781982,True
59.0,True,True, 5.200934410095215,True
62.0,True,True, 5.216510772705078,True
60.0,True,True, 5.157320976257324,True
59.0,True,True, 5.239875316619873,True
58.0,True,True, 5.193146228790283,True
60.0,True,True, 5.154205799102783,True
62.0,True,True, 5.147974967956543,True
61.0,True,True, 5.133956432342529,True
59.0,True,True, 5.235202312469482,True
58.0,True,True, 5.23052978515625,True
57.0,True,True, 5.2087225914001465,True
61.0,True,True, 5.1728973388671875,True
60.0,True,True, 5.152647972106934,True
57.0,True,True, 5.1760125160217285,True
59.0,True,True, 5.147974967956543,True
59.0,True,True, 5.2056074142456055,True
59.0,True,True, 5.1791276931762695,True
60.0,True,True, 5.1697821617126465,True
60.0,True,True, 5.168224334716797,True
60.0,True,True, 5.135513782501221,True
60.0,True,True, 5.105918884277344,True
60.0,True,True, 5.191588878631592,True
59.0,True,True, 5.13707160949707,True
60.0,True,True, 5.147974967956543,True
59.0,True,True, 5.1728973388671875,True
59.0,True,True, 5.190031051635742,True
58.0,True,True, 5.154205799102783,True
58.0,True,True, 5.1760125160217285,True
61.0,True,True, 5.239875316619873,True
60.0,True,True, 5.236760139465332,True
58.0,True,True, 5.210280418395996,True
59.0,True,True, 5.199377059936523,True
57.0,True,True, 5.17756986618042,True
61.0,True,True, 5.221183776855469,True
60.0,True,True, 5.213395595550537,True
59.0,True,True, 5.233644962310791,True
60.0,True,True, 5.112149715423584,True
62.0,True,True, 5.13707160949707,True
59.0,True,True, 5.222741603851318,True
60.0,True,True, 5.180685520172119,True
58.0,True,True, 5.190031051635742,True
59.0,True,True, 5.185358047485352,True
60.0,True,True, 5.165109157562256,True
61.0,True,True, 5.188473701477051,True
59.0,True,True, 5.232087135314941,True
58.0,True,True, 5.23052978515625,True
60.0,True,True, 5.185358047485352,True
60.0,True,True, 5.1760125160217285,True
59.0,True,True, 5.147974967956543,True
59.0,True,True, 5.2289719581604,True
60.0,True,True, 5.249221324920654,True
60.0,True,True, 5.197819232940674,True
60.0,True,True, 5.23052978515625,True
57.0,True,True, 5.239875316619873,True
60.0,True,True, 5.222741603851318,True
61.0,True,True, 5.188473701477051,True
57.0,True,True, 5.246106147766113,True
59.0,True,True, 5.239875316619873,True
59.0,True,True, 5.216510772705078,True
60.0,True,True, 5.221183776855469,True
62.0,True,True, 5.186915874481201,True
61.0,True,True, 5.218068599700928,True
60.0,True,True, 5.242990493774414,True
59.0,True,True, 5.246106147766113,True
56.0,True,True, 5.266355037689209,True
61.0,True,True, 5.241433143615723,True
60.0,True,True, 5.236760139465332,True
58.0,True,True, 5.194704055786133,True
60.0,True,True, 5.250778675079346,True
60.0,True,True, 5.193146228790283,True
61.0,True,True, 5.174454689025879,True
58.0,True,True, 5.2118377685546875,True
59.0,True,True, 5.266355037689209,True
59.0,True,True, 5.199377059936523,True
59.0,True,True, 5.171339511871338,True
61.0,True,True, 5.171339511871338,True
59.0,True,True, 5.157320976257324,True
57.0,True,True, 5.1697821617126465,True
62.0,True,True, 5.1697821617126465,True
61.0,True,True, 5.143301963806152,True
60.0,True,True, 5.200934410095215,True
61.0,True,True, 5.214953422546387,True
59.0,True,True, 5.191588878631592,True
61.0,True,True, 5.200934410095215,True
59.0,True,True, 5.17756986618042,True
61.0,True,True, 5.174454689025879,True
59.0,True,True, 5.1791276931762695,True
61.0,True,True, 5.161993980407715,True
61.0,True,True, 5.221183776855469,True
61.0,True,True, 5.207165241241455,True
59.0,True,True, 5.261682033538818,True
61.0,True,True, 5.22429895401001,True
60.0,True,True, 5.236760139465332,True
60.0,True,True, 5.2289719581604,True
58.0,True,True, 5.204050064086914,True
56.0,True,True, 5.200934410095215,True
59.0,True,True, 5.200934410095215,True
60.0,True,True, 5.196261882781982,True
60.0,True,True, 5.165109157562256,True
56.0,True,True, 5.1760125160217285,True
59.0,True,True, 5.13707160949707,True
56.0,True,True, 5.204050064086914,True
61.0,True,True, 5.196261882781982,True
62.0,True,True, 5.13239860534668,True
60.0,True,True, 5.1822428703308105,True
58.0,True,True, 5.129283428192139,True
58.0,True,True, 5.196261882781982,True
58.0,True,True, 5.17756986618042,True
61.0,True,True, 5.161993980407715,True
59.0,True,True, 5.221183776855469,True
62.0,True,True, 5.194704055786133,True
57.0,True,True, 5.2056074142456055,True
62.0,True,True, 5.197819232940674,True
59.0,True,True, 5.2087225914001465,True
62.0,True,True, 5.180685520172119,True
59.0,True,True, 5.157320976257324,True
59.0,True,True, 5.13707160949707,True
61.0,True,True, 5.147974967956543,True
59.0,True,True, 5.140186786651611,True
59.0,True,True, 5.1760125160217285,True
61.0,True,True, 5.197819232940674,True
58.0,True,True, 5.1697821617126465,True
59.0,True,True, 5.2024922370910645,True
61.0,True,True, 5.1791276931762695,True
58.0,True,True, 5.185358047485352,True
59.0,True,True, 5.147974967956543,True
60.0,True,True, 5.238317966461182,True
61.0,True,True, 5.2024922370910645,True
59.0,True,True, 5.216510772705078,True
62.0,True,True, 5.191588878631592,True
57.0,True,True, 5.143301963806152,True
59.0,True,True, 5.222741603851318,True
63.0,True,True, 5.2087225914001465,True
59.0,True,True, 5.207165241241455,True
61.0,True,True, 5.204050064086914,True
58.0,True,True, 5.155763149261475,True
59.0,True,True, 5.193146228790283,True
60.0,True,True, 5.18380069732666,True
62.0,True,True, 5.200934410095215,True
61.0,True,True, 5.190031051635742,True
59.0,True,True, 5.214953422546387,True
59.0,True,True, 5.239875316619873,True
60.0,True,True, 5.168224334716797,True
60.0,True,True, 5.18380069732666,True
61.0,True,True, 5.149532794952393,True
59.0,True,True, 5.213395595550537,True
59.0,True,True, 5.186915874481201,True
60.0,True,True, 5.126168251037598,True
59.0,True,True, 5.23052978515625,True
60.0,True,True, 5.219625949859619,True
59.0,True,True, 5.190031051635742,True
60.0,True,True, 5.152647972106934,True
59.0,True,True, 5.165109157562256,True
61.0,True,True, 5.22429895401001,True
62.0,True,True, 5.199377059936523,True
60.0,True,True, 5.204050064086914,True
58.0,True,True, 5.1728973388671875,True
60.0,True,True, 5.13707160949707,True
62.0,True,True, 5.1728973388671875,True
60.0,True,True, 5.174454689025879,True
61.0,True,True, 5.210280418395996,True
60.0,True,True, 5.199377059936523,True
59.0,True,True, 5.260124683380127,True
58.0,True,True, 5.213395595550537,True
61.0,True,True, 5.166666507720947,True
57.0,True,True, 5.18380069732666,True
60.0,True,True, 5.1760125160217285,True
60.0,True,True, 5.157320976257324,True
61.0,True,True, 5.186915874481201,True
60.0,True,True, 5.188473701477051,True
59.0,True,True, 5.197819232940674,True
60.0,True,True, 5.186915874481201,True
62.0,True,True, 5.186915874481201,True
60.0,True,True, 5.163551330566406,True
62.0,True,True, 5.1760125160217285,True
57.0,True,True, 5.168224334716797,True
60.0,True,True, 5.151090145111084,True
61.0,True,True, 5.160436153411865,True
60.0,True,True, 5.186915874481201,True
61.0,True,True, 5.18380069732666,True
59.0,True,True, 5.191588878631592,True
59.0,True,True, 5.180685520172119,True
58.0,True,True, 5.2087225914001465,True
61.0,True,True, 5.1791276931762695,True
60.0,True,True, 5.160436153411865,True
57.0,True,True, 5.1822428703308105,True
60.0,True,True, 5.143301963806152,True
60.0,True,True, 5.1697821617126465,True
59.0,True,True, 5.204050064086914,True
60.0,True,True, 5.188473701477051,True
56.0,True,True, 5.196261882781982,True
61.0,True,True, 5.197819232940674,True
59.0,True,True, 5.174454689025879,True
60.0,True,True, 5.160436153411865,True
59.0,True,True, 5.200934410095215,True
60.0,True,True, 5.130841255187988,True
59.0,True,True, 5.1728973388671875,True
59.0,True,True, 5.207165241241455,True
62.0,True,True, 5.194704055786133,True
59.0,True,True, 5.155763149261475,True
59.0,True,True, 5.146417617797852,True
59.0,True,True, 5.144859790802002,True
61.0,True,True, 5.161993980407715,True
58.0,True,True, 5.2289719581604,True
59.0,True,True, 5.236760139465332,True
58.0,True,True, 5.149532794952393,True
60.0,True,True, 5.194704055786133,True
60.0,True,True, 5.23052978515625,True
59.0,True,True, 5.232087135314941,True
60.0,True,True, 5.2087225914001465,True
58.0,True,True, 5.186915874481201,True
60.0,True,True, 5.146417617797852,True
63.0,True,True, 5.191588878631592,True
61.0,True,True, 5.194704055786133,True
60.0,True,True, 5.225856781005859,True
60.0,True,True, 5.23052978515625,True
60.0,True,True, 5.146417617797852,True
56.0,True,True, 5.149532794952393,True
59.0,True,True, 5.1791276931762695,True
61.0,True,True, 5.157320976257324,True
59.0,True,True, 5.204050064086914,True
60.0,True,True, 5.238317966461182,True
59.0,True,True, 5.2056074142456055,True
60.0,True,True, 5.163551330566406,True
59.0,True,True, 5.186915874481201,True
61.0,True,True, 5.17756986618042,True
60.0,True,True, 5.157320976257324,True
58.0,True,True, 5.204050064086914,True
56.0,True,True, 5.188473701477051,True
61.0,True,True, 5.144859790802002,True
61.0,True,True, 5.186915874481201,True
58.0,True,True, 5.151090145111084,True
57.0,True,True, 5.168224334716797,True
60.0,True,True, 5.158878326416016,True
61.0,True,True, 5.1728973388671875,True
59.0,True,True, 5.168224334716797,True
61.0,True,True, 5.190031051635742,True
59.0,True,True, 5.2289719581604,True
58.0,True,True, 5.166666507720947,True
59.0,True,True, 5.165109157562256,True
58.0,True,True, 5.165109157562256,True
59.0,True,True, 5.155763149261475,True
60.0,True,True, 5.155763149261475,True
62.0,True,True, 5.158878326416016,True
60.0,True,True, 5.17756986618042,True
56.0,True,True, 5.204050064086914,True
60.0,True,True, 5.190031051635742,True
59.0,True,True, 5.18380069732666,True
59.0,True,True, 5.127726078033447,True
59.0,True,True, 5.155763149261475,True
61.0,True,True, 5.127726078033447,True
58.0,True,True, 5.135513782501221,True
59.0,True,True, 5.190031051635742,True
61.0,True,True, 5.146417617797852,True
57.0,True,True, 5.199377059936523,True
61.0,True,True, 5.200934410095215,True
59.0,True,True, 5.196261882781982,True
62.0,True,True, 5.194704055786133,True
58.0,True,True, 5.18380069732666,True
60.0,True,True, 5.174454689025879,True
59.0,True,True, 5.185358047485352,True
60.0,True,True, 5.135513782501221,True
58.0,True,True, 5.152647972106934,True
58.0,True,True, 5.129283428192139,True
60.0,True,True, 5.174454689025879,True
62.0,True,True, 5.197819232940674,True
61.0,True,True, 5.2056074142456055,True
59.0,True,True, 5.158878326416016,True
59.0,True,True, 5.180685520172119,True
58.0,True,True, 5.154205799102783,True
59.0,True,True, 5.190031051635742,True
57.0,True,True, 5.22429895401001,True
60.0,True,True, 5.18380069732666,True
62.0,True,True, 5.157320976257324,True
58.0,True,True, 5.154205799102783,True
57.0,True,True, 5.143301963806152,True
59.0,True,True, 5.144859790802002,True
59.0,True,True, 5.129283428192139,True
59.0,True,True, 5.186915874481201,True
58.0,True,True, 5.197819232940674,True
60.0,True,True, 5.174454689025879,True
57.0,True,True, 5.188473701477051,True
60.0,True,True, 5.221183776855469,True
60.0,True,True, 5.185358047485352,True
60.0,True,True, 5.166666507720947,True
58.0,True,True, 5.152647972106934,True
59.0,True,True, 5.188473701477051,True
58.0,True,True, 5.191588878631592,True
59.0,True,True, 5.152647972106934,True
59.0,True,True, 5.124610424041748,True
57.0,True,True, 5.194704055786133,True
58.0,True,True, 5.204050064086914,True
59.0,True,True, 5.1728973388671875,True
61.0,True,True, 5.218068599700928,True
58.0,True,True, 5.163551330566406,True
59.0,True,True, 5.105918884277344,True
60.0,True,True, 5.191588878631592,True
59.0,True,True, 5.149532794952393,True
60.0,True,True, 5.200934410095215,True
60.0,True,True, 5.161993980407715,True
61.0,True,True, 5.133956432342529,True
59.0,True,True, 5.151090145111084,True
61.0,True,True, 5.143301963806152,True
58.0,True,True, 5.197819232940674,True
61.0,True,True, 5.185358047485352,True
59.0,True,True, 5.147974967956543,True
57.0,True,True, 5.277258396148682,True
61.0,True,True, 5.225856781005859,True
61.0,True,True, 5.289719581604004,True
60.0,True,True, 5.263239860534668,True
60.0,True,True, 5.253893852233887,True
58.0,True,True, 5.238317966461182,True
59.0,True,True, 5.210280418395996,True
61.0,True,True, 5.233644962310791,True
60.0,True,True, 5.214953422546387,True
59.0,True,True, 5.232087135314941,True
59.0,True,True, 5.200934410095215,True
61.0,True,True, 5.1791276931762695,True
56.0,True,True, 5.2118377685546875,True
60.0,True,True, 5.194704055786133,True
56.0,True,True, 5.222741603851318,True
62.0,True,True, 5.222741603851318,True
59.0,True,True, 5.17756986618042,True
58.0,True,True, 5.13862943649292,True
59.0,True,True, 5.174454689025879,True
58.0,True,True, 5.165109157562256,True
