distance,found_object,is_lift_in_fov,signal_quality,unobstructed
112.0,True,True, 1.1580796241760254,True
113.0,True,True, 1.1572990417480469,True
115.0,True,True, 1.1565183401107788,True
113.0,True,True, 1.165495753288269,True
114.0,True,True, 1.1506634950637817,True
114.0,True,True, 1.1592506170272827,True
112.0,True,True, 1.1561280488967896,True
113.0,True,True, 1.1894001960754395,True
114.0,True,True, 1.153786063194275,True
114.0,True,True, 1.156908631324768,True
113.0,True,True, 1.1533957719802856,True
113.0,True,True, 1.1561280488967896,True
114.0,True,True, 1.1557377576828003,True
114.0,True,True, 1.1533957719802856,True
114.0,True,True, 1.1533957719802856,True
115.0,True,True, 1.1561280488967896,True
114.0,True,True, 1.1557377576828003,True
114.0,True,True, 1.1584699153900146,True
112.0,True,True, 1.1898109912872314,True
114.0,True,True, 1.161982774734497,True
112.0,True,True, 1.156908631324768,True
114.0,True,True, 1.1572990417480469,True
112.0,True,True, 1.159640908241272,True
115.0,True,True, 1.1615924835205078,True
113.0,True,True, 1.1541764736175537,True
114.0,True,True, 1.1639344692230225,True
114.0,True,True, 1.158860206604004,True
115.0,True,True, 1.1557377576828003,True
114.0,True,True, 1.1612021923065186,True
115.0,True,True, 1.1592506170272827,True
114.0,True,True, 1.161982774734497,True
114.0,True,True, 1.1572990417480469,True
113.0,True,True, 1.1608119010925293,True
113.0,True,True, 1.149492621421814,True
113.0,True,True, 1.1608119010925293,True
111.0,True,True, 1.1627634763717651,True
114.0,True,True, 1.1623731851577759,True
113.0,True,True, 1.1615924835205078,True
114.0,True,True, 1.159640908241272,True
116.0,True,True, 1.1604214906692505,True
116.0,True,True, 1.1608119010925293,True
114.0,True,True, 1.156908631324768,True
113.0,True,True, 1.1553473472595215,True
112.0,True,True, 1.153786063194275,True
111.0,True,True, 1.1635440587997437,True
115.0,True,True, 1.1576893329620361,True
112.0,True,True, 1.1820049285888672,True
113.0,True,True, 1.1608119010925293,True
115.0,True,True, 1.153786063194275,True
112.0,True,True, 1.1608119010925293,True
112.0,True,True, 1.1553473472595215,True
114.0,True,True, 1.1639344692230225,True
115.0,True,True, 1.1557377576828003,True
114.0,True,True, 1.1674473285675049,True
112.0,True,True, 1.1615924835205078,True
115.0,True,True, 1.1678376197814941,True
117.0,True,True, 1.1600311994552612,True
115.0,True,True, 1.1541764736175537,True
112.0,True,True, 1.1584699153900146,True
115.0,True,True, 1.1608119010925293,True
113.0,True,True, 1.1572990417480469,True
114.0,True,True, 1.1580796241760254,True
113.0,True,True, 1.1623731851577759,True
114.0,True,True, 1.1623731851577759,True
116.0,True,True, 1.1553473472595215,True
113.0,True,True, 1.1557377576828003,True
117.0,True,True, 1.1612021923065186,True
114.0,True,True, 1.1600311994552612,True
112.0,True,True, 1.1600311994552612,True
114.0,True,True, 1.1627634763717651,True
112.0,True,True, 1.1576893329620361,True
113.0,True,True, 1.1572990417480469,True
115.0,True,True, 1.1526151895523071,True
113.0,True,True, 1.154566764831543,True
113.0,True,True, 1.1604214906692505,True
114.0,True,True, 1.164715051651001,True
113.0,True,True, 1.158860206604004,True
112.0,True,True, 1.1584699153900146,True
113.0,True,True, 1.1604214906692505,True
113.0,True,True, 1.1736924648284912,True
113.0,True,True, 1.1670570373535156,True
113.0,True,True, 1.1627634763717651,True
113.0,True,True, 1.1836483478546143,True
112.0,True,True, 1.1530054807662964,True
113.0,True,True, 1.1651053428649902,True
112.0,True,True, 1.1503697633743286,True
114.0,True,True, 1.1848808526992798,True
114.0,True,True, 1.1803615093231201,True
116.0,True,True, 1.1709601879119873,True
113.0,True,True, 1.1592506170272827,True
115.0,True,True, 1.14676034450531,True
