distance,found_object,is_lift_in_fov,signal_quality,unobstructed
54.0,True,True, 6.099221706390381,True
54.0,True,True, 6.07198429107666,True
56.0,True,True, 6.070038795471191,True
55.0,True,True, 6.066147804260254,True
54.0,True,True, 6.108949184417725,True
53.0,True,True, 6.075875282287598,True
54.0,True,True, 6.11284065246582,True
53.0,True,True, 6.165369510650635,True
54.0,True,True, 6.215953350067139,True
54.0,True,True, 6.227626323699951,True
56.0,True,True, 6.223735332489014,True
54.0,True,True, 6.208171367645264,True
53.0,True,True, 6.274319171905518,True
56.0,True,True, 5.507788181304932,True
57.0,True,True, 5.787937641143799,True
57.0,True,True, 5.805447578430176,True
57.0,True,True, 5.805447578430176,True
54.0,True,True, 5.619937896728516,True
56.0,True,True, 5.644859790802002,True
54.0,True,True, 5.854085445404053,True
54.0,True,True, 5.937743186950684,True
52.0,True,True, 6.206225872039795,True
52.0,True,True, 6.212062358856201,True
54.0,True,True, 6.173151969909668,True
54.0,True,True, 6.132295608520508,True
54.0,True,True, 5.918287754058838,True
53.0,True,True, 5.657320976257324,True
57.0,True,True, 5.85797643661499,True
54.0,True,True, 5.811284065246582,True
57.0,True,True, 5.7996110916137695,True
56.0,True,True, 5.8404669761657715,True
54.0,True,True, 5.8560309410095215,True
56.0,True,True, 5.824902534484863,True
53.0,True,True, 5.824902534484863,True
53.0,True,True, 5.574766159057617,True
56.0,True,True, 5.5638628005981445,True
54.0,True,True, 5.826848030090332,True
57.0,True,True, 5.828794002532959,True
54.0,True,True, 5.570093631744385,True
58.0,True,True, 5.846303462982178,True
54.0,True,True, 5.881322860717773,True
56.0,True,True, 5.817120552062988,True
55.0,True,True, 5.616822242736816,True
56.0,True,True, 5.627726078033447,True
55.0,True,True, 5.5669779777526855,True
59.0,True,True, 5.71400785446167,True
55.0,True,True, 5.552959442138672,True
56.0,True,True, 5.690661430358887,True
57.0,True,True, 5.733462810516357,True
56.0,True,True, 5.507788181304932,True
57.0,True,True, 5.607003688812256,True
59.0,True,True, 5.6848249435424805,True
55.0,True,True, 5.5280375480651855,True
56.0,True,True, 5.665369510650635,True
57.0,True,True, 5.737354278564453,True
55.0,True,True, 5.542056083679199,True
55.0,True,True, 5.514018535614014,True
56.0,True,True, 6.062256813049316,True
55.0,True,True, 6.01556396484375,True
54.0,True,True, 6.0291829109191895,True
53.0,True,True, 6.068093299865723,True
55.0,True,True, 5.9143967628479,True
56.0,True,True, 5.980544567108154,True
55.0,True,True, 5.937743186950684,True
54.0,True,True, 5.846303462982178,True
53.0,True,True, 5.889104843139648,True
54.0,True,True, 5.861867904663086,True
56.0,True,True, 5.735408782958984,True
56.0,True,True, 5.830739498138428,True
52.0,True,True, 5.612149715423584,True
55.0,True,True, 5.584112167358398,True
57.0,True,True, 5.813229560852051,True
56.0,True,True, 5.675097465515137,True
53.0,True,True, 5.869649887084961,True
54.0,True,True, 5.826848030090332,True
57.0,True,True, 5.571650981903076,True
53.0,True,True, 6.217898845672607,True
53.0,True,True, 6.202334403991699,True
54.0,True,True, 6.254863739013672,True
53.0,True,True, 6.363813400268555,True
50.0,True,True, 6.252918243408203,True
52.0,True,True, 6.136186599731445,True
51.0,True,True, 5.836575984954834,True
53.0,True,True, 5.852139949798584,True
57.0,True,True, 5.665109157562256,True
57.0,True,True, 5.6697821617126465,True
55.0,True,True, 5.635513782501221,True
58.0,True,True, 5.633956432342529,True
57.0,True,True, 5.657320976257324,True
58.0,True,True, 5.782101154327393,True
59.0,True,True, 5.821011543273926,True
57.0,True,True, 5.568535804748535,True
58.0,True,True, 5.8326849937438965,True
56.0,True,True, 5.616822242736816,True
52.0,True,True, 5.612149715423584,True
50.0,True,True, 5.629283428192139,True
53.0,True,True, 5.8482489585876465,True
55.0,True,True, 5.87159538269043,True
57.0,True,True, 5.850194454193115,True
53.0,True,True, 5.647974967956543,True
54.0,True,True, 5.900778293609619,True
54.0,True,True, 5.865758895874023,True
54.0,True,True, 5.674454689025879,True
51.0,True,True, 5.863813400268555,True
54.0,True,True, 5.8404669761657715,True
52.0,True,True, 5.84241247177124,True
53.0,True,True, 5.828794002532959,True
54.0,True,True, 5.619937896728516,True
55.0,True,True, 5.619937896728516,True
52.0,True,True, 5.885213851928711,True
55.0,True,True, 5.900778293609619,True
56.0,True,True, 5.902723789215088,True
53.0,True,True, 5.666666507720947,True
52.0,True,True, 5.881322860717773,True
53.0,True,True, 5.658878326416016,True
55.0,True,True, 5.828794002532959,True
55.0,True,True, 5.8482489585876465,True
55.0,True,True, 5.619937896728516,True
53.0,True,True, 5.627726078033447,True
