distance,found_object,is_lift_in_fov,signal_quality,unobstructed
52.0,True,True, 6.054474830627441,True
55.0,True,True, 6.017509937286377,True
54.0,True,True, 5.945525169372559,True
52.0,True,True, 5.974708080291748,True
52.0,True,True, 6.099221706390381,True
49.0,True,True, 6.165369510650635,True
53.0,True,True, 5.939688682556152,True
52.0,True,True, 6.099221706390381,True
53.0,True,True, 6.009727478027344,True
51.0,True,True, 6.027237415313721,True
52.0,True,True, 6.023346424102783,True
54.0,True,True, 6.033073902130127,True
55.0,True,True, 6.0369648933410645,True
52.0,True,True, 6.031128406524658,True
52.0,True,True, 6.040855884552002,True
53.0,True,True, 6.073929786682129,True
52.0,True,True, 6.01556396484375,True
54.0,True,True, 6.054474830627441,True
53.0,True,True, 6.07198429107666,True
53.0,True,True, 6.033073902130127,True
55.0,True,True, 6.025291919708252,True
50.0,True,True, 6.046692371368408,True
52.0,True,True, 6.081712245941162,True
53.0,True,True, 6.050583839416504,True
52.0,True,True, 6.046692371368408,True
53.0,True,True, 6.07198429107666,True
53.0,True,True, 6.070038795471191,True
53.0,True,True, 6.042801380157471,True
52.0,True,True, 6.083657741546631,True
53.0,True,True, 6.060311317443848,True
52.0,True,True, 6.093385219573975,True
53.0,True,True, 6.095330715179443,True
52.0,True,True, 6.108949184417725,True
53.0,True,True, 6.07198429107666,True
55.0,True,True, 6.124513626098633,True
52.0,True,True, 6.099221706390381,True
54.0,True,True, 6.091439723968506,True
55.0,True,True, 6.046692371368408,True
53.0,True,True, 6.007781982421875,True
54.0,True,True, 6.009727478027344,True
52.0,True,True, 6.009727478027344,True
54.0,True,True, 6.027237415313721,True
55.0,True,True, 5.9883270263671875,True
52.0,True,True, 5.949416160583496,True
54.0,True,True, 6.005836486816406,True
52.0,True,True, 6.0369648933410645,True
53.0,True,True, 6.013618469238281,True
52.0,True,True, 6.017509937286377,True
54.0,True,True, 6.068093299865723,True
54.0,True,True, 6.075875282287598,True
54.0,True,True, 6.0369648933410645,True
50.0,True,True, 6.042801380157471,True
52.0,True,True, 6.050583839416504,True
52.0,True,True, 6.073929786682129,True
53.0,True,True, 6.132295608520508,True
51.0,True,True, 6.116731643676758,True
52.0,True,True, 6.171205997467041,True
55.0,True,True, 6.1439690589904785,True
53.0,True,True, 6.064202308654785,True
52.0,True,True, 6.058365821838379,True
51.0,True,True, 6.073929786682129,True
56.0,True,True, 6.068093299865723,True
52.0,True,True, 6.01556396484375,True
52.0,True,True, 6.070038795471191,True
52.0,True,True, 6.017509937286377,True
51.0,True,True, 5.998054504394531,True
52.0,True,True, 5.931906700134277,True
53.0,True,True, 5.865758895874023,True
50.0,True,True, 6.001945495605469,True
51.0,True,True, 5.986381530761719,True
54.0,True,True, 5.910505771636963,True
55.0,True,True, 5.6760125160217285,True
56.0,True,True, 5.88715934753418,True
54.0,True,True, 5.854085445404053,True
55.0,True,True, 5.595015525817871,True
57.0,True,True, 5.510903358459473,True
56.0,True,True, 5.481308460235596,True
57.0,True,True, 5.482865810394287,True
57.0,True,True, 5.482865810394287,True
56.0,True,True, 5.492211818695068,True
52.0,True,True, 5.49844217300415,True
54.0,True,True, 5.509346008300781,True
54.0,True,True, 5.517134189605713,True
57.0,True,True, 5.50155782699585,True
56.0,True,True, 5.5,True
55.0,True,True, 5.542056083679199,True
56.0,True,True, 5.543613910675049,True
58.0,True,True, 5.521806716918945,True
58.0,True,True, 5.529594898223877,True
58.0,True,True, 5.518691539764404,True
56.0,True,True, 5.495326995849609,True
55.0,True,True, 5.518691539764404,True
54.0,True,True, 5.537383079528809,True
56.0,True,True, 5.5280375480651855,True
57.0,True,True, 5.523364543914795,True
54.0,True,True, 5.556074619293213,True
59.0,True,True, 5.585669994354248,True
55.0,True,True, 5.616822242736816,True
54.0,True,True, 5.629283428192139,True
56.0,True,True, 5.643301963806152,True
57.0,True,True, 5.649532794952393,True
55.0,True,True, 5.652647972106934,True
55.0,True,True, 5.658878326416016,True
54.0,True,True, 5.644859790802002,True
53.0,True,True, 5.630841255187988,True
56.0,True,True, 5.640186786651611,True
52.0,True,True, 5.633956432342529,True
53.0,True,True, 5.649532794952393,True
54.0,True,True, 5.8560309410095215,True
55.0,True,True, 5.665109157562256,True
54.0,True,True, 5.624610424041748,True
54.0,True,True, 5.8326849937438965,True
53.0,True,True, 5.63707160949707,True
54.0,True,True, 5.655763149261475,True
53.0,True,True, 5.627726078033447,True
50.0,True,True, 5.658878326416016,True
56.0,True,True, 5.854085445404053,True
57.0,True,True, 5.8151750564575195,True
53.0,True,True, 5.623053073883057,True
57.0,True,True, 5.646417617797852,True
54.0,True,True, 5.641744613647461,True
56.0,True,True, 5.8482489585876465,True
55.0,True,True, 5.647974967956543,True
53.0,True,True, 5.626168251037598,True
55.0,True,True, 5.641744613647461,True
52.0,True,True, 5.640186786651611,True
55.0,True,True, 5.821011543273926,True
55.0,True,True, 5.646417617797852,True
53.0,True,True, 5.658878326416016,True
52.0,True,True, 5.663551330566406,True
53.0,True,True, 5.850194454193115,True
56.0,True,True, 5.821011543273926,True
54.0,True,True, 5.626168251037598,True
54.0,True,True, 5.646417617797852,True
55.0,True,True, 5.8560309410095215,True
56.0,True,True, 5.646417617797852,True
57.0,True,True, 5.8326849937438965,True
53.0,True,True, 5.657320976257324,True
54.0,True,True, 5.661993980407715,True
54.0,True,True, 5.826848030090332,True
53.0,True,True, 5.640186786651611,True
56.0,True,True, 5.654205799102783,True
52.0,True,True, 5.633956432342529,True
55.0,True,True, 5.665109157562256,True
54.0,True,True, 5.869649887084961,True
54.0,True,True, 5.830739498138428,True
56.0,True,True, 5.627726078033447,True
57.0,True,True, 5.8560309410095215,True
52.0,True,True, 5.652647972106934,True
52.0,True,True, 5.654205799102783,True
52.0,True,True, 5.624610424041748,True
54.0,True,True, 5.627726078033447,True
54.0,True,True, 5.652647972106934,True
55.0,True,True, 5.87159538269043,True
56.0,True,True, 5.651090145111084,True
54.0,True,True, 5.846303462982178,True
55.0,True,True, 5.844357967376709,True
53.0,True,True, 5.655763149261475,True
54.0,True,True, 5.63862943649292,True
55.0,True,True, 5.626168251037598,True
53.0,True,True, 5.63239860534668,True
53.0,True,True, 5.646417617797852,True
53.0,True,True, 5.655763149261475,True
54.0,True,True, 5.646417617797852,True
53.0,True,True, 5.649532794952393,True
52.0,True,True, 5.657320976257324,True
56.0,True,True, 5.655763149261475,True
55.0,True,True, 5.63239860534668,True
54.0,True,True, 5.646417617797852,True
55.0,True,True, 5.649532794952393,True
55.0,True,True, 5.67756986618042,True
56.0,True,True, 5.674454689025879,True
55.0,True,True, 5.655763149261475,True
52.0,True,True, 5.630841255187988,True
56.0,True,True, 5.819066047668457,True
53.0,True,True, 5.647974967956543,True
55.0,True,True, 5.821011543273926,True
54.0,True,True, 5.63707160949707,True
55.0,True,True, 5.643301963806152,True
56.0,True,True, 5.63862943649292,True
56.0,True,True, 5.629283428192139,True
56.0,True,True, 5.624610424041748,True
53.0,True,True, 5.658878326416016,True
52.0,True,True, 5.640186786651611,True
58.0,True,True, 5.635513782501221,True
52.0,True,True, 5.647974967956543,True
55.0,True,True, 5.655763149261475,True
53.0,True,True, 5.651090145111084,True
55.0,True,True, 5.630841255187988,True
55.0,True,True, 5.652647972106934,True
53.0,True,True, 5.6697821617126465,True
54.0,True,True, 5.646417617797852,True
54.0,True,True, 5.657320976257324,True
54.0,True,True, 5.633956432342529,True
54.0,True,True, 5.633956432342529,True
54.0,True,True, 5.658878326416016,True
55.0,True,True, 5.629283428192139,True
54.0,True,True, 5.651090145111084,True
54.0,True,True, 5.651090145111084,True
55.0,True,True, 5.647974967956543,True
52.0,True,True, 5.652647972106934,True
52.0,True,True, 5.63862943649292,True
53.0,True,True, 5.651090145111084,True
55.0,True,True, 5.619937896728516,True
54.0,True,True, 5.836575984954834,True
55.0,True,True, 5.644859790802002,True
54.0,True,True, 5.624610424041748,True
56.0,True,True, 5.652647972106934,True
55.0,True,True, 5.8073930740356445,True
53.0,True,True, 5.624610424041748,True
54.0,True,True, 5.6728973388671875,True
54.0,True,True, 5.646417617797852,True
57.0,True,True, 5.8151750564575195,True
54.0,True,True, 5.624610424041748,True
54.0,True,True, 5.646417617797852,True
54.0,True,True, 5.663551330566406,True
56.0,True,True, 5.623053073883057,True
54.0,True,True, 5.663551330566406,True
53.0,True,True, 5.629283428192139,True
54.0,True,True, 5.626168251037598,True
56.0,True,True, 5.655763149261475,True
50.0,True,True, 5.644859790802002,True
54.0,True,True, 5.633956432342529,True
58.0,True,True, 5.63862943649292,True
54.0,True,True, 5.621495246887207,True
53.0,True,True, 5.649532794952393,True
55.0,True,True, 5.629283428192139,True
54.0,True,True, 5.657320976257324,True
53.0,True,True, 5.657320976257324,True
53.0,True,True, 5.629283428192139,True
53.0,True,True, 5.657320976257324,True
54.0,True,True, 5.665109157562256,True
55.0,True,True, 5.624610424041748,True
55.0,True,True, 5.652647972106934,True
55.0,True,True, 5.666666507720947,True
55.0,True,True, 5.605918884277344,True
56.0,True,True, 5.643301963806152,True
53.0,True,True, 5.652647972106934,True
53.0,True,True, 5.633956432342529,True
52.0,True,True, 5.646417617797852,True
57.0,True,True, 5.649532794952393,True
52.0,True,True, 5.635513782501221,True
53.0,True,True, 5.663551330566406,True
53.0,True,True, 5.661993980407715,True
52.0,True,True, 5.629283428192139,True
53.0,True,True, 5.8326849937438965,True
52.0,True,True, 5.630841255187988,True
56.0,True,True, 5.612149715423584,True
54.0,True,True, 5.641744613647461,True
54.0,True,True, 5.630841255187988,True
55.0,True,True, 5.647974967956543,True
53.0,True,True, 5.626168251037598,True
54.0,True,True, 5.63239860534668,True
57.0,True,True, 5.623053073883057,True
54.0,True,True, 5.627726078033447,True
54.0,True,True, 5.644859790802002,True
54.0,True,True, 5.821011543273926,True
54.0,True,True, 5.641744613647461,True
55.0,True,True, 5.652647972106934,True
54.0,True,True, 5.644859790802002,True
54.0,True,True, 5.63707160949707,True
53.0,True,True, 5.629283428192139,True
54.0,True,True, 5.635513782501221,True
53.0,True,True, 5.640186786651611,True
52.0,True,True, 5.641744613647461,True
56.0,True,True, 5.691588878631592,True
55.0,True,True, 5.649532794952393,True
56.0,True,True, 5.649532794952393,True
56.0,True,True, 5.655763149261475,True
58.0,True,True, 5.311526298522949,True
49.0,True,True, 6.708171367645264,True
