distance,found_object,is_lift_in_fov,signal_quality,unobstructed
110.0,True,True, 1.190221905708313,True
112.0,True,True, 1.1815941333770752,True
112.0,True,True, 1.1980279684066772,True
112.0,True,True, 1.1832374334335327,True
112.0,True,True, 1.1553473472595215,True
111.0,True,True, 1.1848808526992798,True
110.0,True,True, 1.1604214906692505,True
112.0,True,True, 1.2017256021499634,True
111.0,True,True, 1.1811084747314453,True
111.0,True,True, 1.175644040107727,True
113.0,True,True, 1.203368902206421,True
112.0,True,True, 1.1980279684066772,True
111.0,True,True, 1.202958106994629,True
111.0,True,True, 1.2078882455825806,True
110.0,True,True, 1.2115858793258667,True
110.0,True,True, 1.2222678661346436,True
111.0,True,True, 1.2321281433105469,True
111.0,True,True, 1.223089575767517,True
110.0,True,True, 1.223500370979309,True
107.0,True,True, 1.2226786613464355,True
113.0,True,True, 1.2296631336212158,True
109.0,True,True, 1.223500370979309,True
110.0,True,True, 1.23746919631958,True
111.0,True,True, 1.2218570709228516,True
109.0,True,True, 1.2325390577316284,True
112.0,True,True, 1.2267872095108032,True
112.0,True,True, 1.2243220806121826,True
111.0,True,True, 1.2247329950332642,True
110.0,True,True, 1.2206244468688965,True
114.0,True,True, 1.2247329950332642,True
112.0,True,True, 1.2271980047225952,True
110.0,True,True, 1.2177485227584839,True
111.0,True,True, 1.2247329950332642,True
112.0,True,True, 1.2263762950897217,True
112.0,True,True, 1.2288414239883423,True
111.0,True,True, 1.2304848432540894,True
112.0,True,True, 1.2271980047225952,True
110.0,True,True, 1.2222678661346436,True
110.0,True,True, 1.2247329950332642,True
111.0,True,True, 1.2304848432540894,True
111.0,True,True, 1.2177485227584839,True
109.0,True,True, 1.2206244468688965,True
110.0,True,True, 1.2115858793258667,True
111.0,True,True, 1.2099424600601196,True
110.0,True,True, 1.206655740737915,True
111.0,True,True, 1.221035361289978,True
111.0,True,True, 1.2292522192001343,True
112.0,True,True, 1.2284305095672607,True
112.0,True,True, 1.2403451204299927,True
110.0,True,True, 1.2415776252746582,True
110.0,True,True, 1.2399342060089111,True
112.0,True,True, 1.2428101301193237,True
110.0,True,True, 1.2325390577316284,True
113.0,True,True, 1.2284305095672607,True
108.0,True,True, 1.2144618034362793,True
112.0,True,True, 1.218981146812439,True
111.0,True,True, 1.2226786613464355,True
111.0,True,True, 1.2181594371795654,True
111.0,True,True, 1.223500370979309,True
112.0,True,True, 1.2185702323913574,True
110.0,True,True, 1.2115858793258667,True
111.0,True,True, 1.22144615650177,True
111.0,True,True, 1.223089575767517,True
113.0,True,True, 1.235414981842041,True
112.0,True,True, 1.2325390577316284,True
109.0,True,True, 1.2271980047225952,True
113.0,True,True, 1.2288414239883423,True
112.0,True,True, 1.2345932722091675,True
108.0,True,True, 1.223089575767517,True
111.0,True,True, 1.2111749649047852,True
111.0,True,True, 1.2140508890151978,True
112.0,True,True, 1.2078882455825806,True
112.0,True,True, 1.2206244468688965,True
111.0,True,True, 1.2543139457702637,True
111.0,True,True, 1.2551355361938477,True
108.0,True,True, 1.2736339569091797,True
109.0,True,True, 1.2705984115600586,True
110.0,True,True, 1.2551355361938477,True
111.0,True,True, 1.2510271072387695,True
113.0,True,True, 1.2506163120269775,True
111.0,True,True, 1.2325390577316284,True
107.0,True,True, 1.2144618034362793,True
109.0,True,True, 1.20542311668396,True
111.0,True,True, 1.207066535949707,True
108.0,True,True, 1.2181594371795654,True
112.0,True,True, 1.2460969686508179,True
111.0,True,True, 1.262120008468628,True
109.0,True,True, 1.2596548795700073,True
109.0,True,True, 1.262120008468628,True
111.0,True,True, 1.2559572458267212,True
111.0,True,True, 1.251848816871643,True
112.0,True,True, 1.2387017011642456,True
109.0,True,True, 1.2243220806121826,True
113.0,True,True, 1.2263762950897217,True
113.0,True,True, 1.235414981842041,True
111.0,True,True, 1.248561978340149,True
112.0,True,True, 1.2719802856445312,True
110.0,True,True, 1.2592440843582153,True
113.0,True,True, 1.2588331699371338,True
110.0,True,True, 1.2506163120269775,True
111.0,True,True, 1.2263762950897217,True
110.0,True,True, 1.2255545854568481,True
111.0,True,True, 1.2185702323913574,True
112.0,True,True, 1.2284305095672607,True
